1	5.86523438
2	2.45996094
3	1.54833984
4	1.60839844
5	1.65712891
6	1.65625000
7	0.869140625
8	0.507812500
9	0.432128906
10	0.931640625
11	0.370605469
12	0.913085938
13	0.385742188
14	0.407470703
15	0.571289062
16	0.282958984
17	0.425781250
18	0.388183594
19	0.414062500
20	0.466796875
21	0.788085938
22	0.705078125
23	0.882812500
24	0.464355469
25	0.490722656
30	0.840820312
35	0.849609375
40	0.860351562
45	0.876953125
50	0.448730469
55	0.671386719
60	0.761718750
65	0.482910156
70	0.487304688
75	0.603027344
80	0.502929688
85	0.830078125
90	0.829101562
95	1.08984375
100	0.414550781
105	0.493652344
110	0.978515625
115	0.800781250
120	0.431640625
125	0.476562500
130	0.449707031
135	0.446289062
140	0.474121094
145	0.541503906
150	0.422363281
155	0.562011719
160	0.475097656
165	0.462402344
170	0.431152344
175	0.445312500
180	0.454101562
185	0.508300781
190	0.430664062
195	0.432617188
199	0.461425781
